Owner,"Organization (O from Issuer Field)","Organizational Unit (OU from Issuer Field)",Common Name or Certificate Name,SHA1 Fingerprint,"Valid From (GMT)","Valid To (GMT)",Modulus,Signature Algorithm,Trust Bits,"EV Policy OID","Approval Bug","Release When First Included",URL to Test Website,Company Website,Certificate Policy (CP),Certification Practice Statement (CPS),Audit,Baseline Requirements Audit,EV Audit,Auditor,Audit Criteria,Audit Statement Date,Comments
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
TurkTrust,(c) 2005 TÜRKTRUST Bilgi İletişim ve Bilişim Güvenliği Hizmetleri A.Ş.,,TÜRKTRUST Elektronik Sertifika Hizmet Sağlayıcısı,79:98:A3:08:E1:4D:65:85:E6:C2:1E:15:3A:71:9F:BA:5A:D3:4A:D9,5/13/2005,3/22/2015,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=380635,"NSS 3.11.9, Firefox 2",,http://www.turktrust.com.tr,http://www.turktrust.com.tr/en/bilgideposu.html,http://www.turktrust.com.tr/en/bilgideposu.html,http://www.turktrust.com.tr/en/images/page/hakkimizda/belgeler/big/etsinew1.png,http://www.turktrust.com.tr/en/images/page/hakkimizda/belgeler/big/etsinew1.png,,BSI,ETSI TS 102 042,2013.09.16,http://www.turktrust.com.tr/en/images/page/hakkimizda/belgeler/big/etsinew2.png
A-Trust,A-Trust Ges. f. Sicherheitssysteme im elektr. Datenverkehr GmbH,A-Trust-nQual-03,A-Trust-nQual-03,D3:C0:63:F2:19:ED:07:3E:34:AD:5D:75:0B:32:76:29:FF:D5:9A:F2,8/17/2005,8/17/2015,2048,SHA-1,Websites,1.2.40.0.17.1.22,https://bugzilla.mozilla.org/show_bug.cgi?id=530797,"NSS 3.12.11, Firefox 6.0.2",https://test1.a-trust.at/,http://www.a-trust.at,https://www.a-trust.at/docs/cp,https://www.a-trust.at/docs/cps,https://cert.webtrust.org/SealFile?seal=1580&file=pdf,https://cert.webtrust.org/SealFile?seal=1580&file=pdf,https://cert.webtrust.org/SealFile?seal=1585&file=pdf,Ernst & Young,WebTrust,2013.09.17,
Camerfirma,AC Camerfirma S.A.,,Chambers of Commerce Root - 2008,78:6A:74:AC:76:AB:14:7F:9C:6A:30:50:BA:9E:A8:7E:FE:9A:CE:3C,8/1/2008,7/31/2038,4096,SHA-1,"Websites Email Code",1.3.6.1.4.1.17326.10.14.2.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=406968,"NSS 3.12.9, Firefox 4.0",https://www.camerfirma.com,http://www.camerfirma.com,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,https://cert.webtrust.org/SealFile?seal=1570&file=pdf,https://cert.webtrust.org/SealFile?seal=1570&file=pdf,https://cert.webtrust.org/SealFile?seal=1573&file=pdf,Ernst & Young,WebTrust,2013.06.18,
Camerfirma,AC Camerfirma S.A.,,Global Chambersign Root - 2008,4A:BD:EE:EC:95:0D:35:9C:89:AE:C7:52:A1:2C:5B:29:F6:D6:AA:0C,8/1/2008,7/31/2038,4096,SHA-1,"Websites Email Code",1.3.6.1.4.1.17326.10.8.12.1.2,https://bugzilla.mozilla.org/show_bug.cgi?id=406968,"NSS 3.12.9, Firefox 4.0",Not yet issuing SSL certs.,http://www.camerfirma.com,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,https://cert.webtrust.org/SealFile?seal=1570&file=pdf,https://cert.webtrust.org/SealFile?seal=1570&file=pdf,https://cert.webtrust.org/SealFile?seal=1573&file=pdf,Ernst & Young,WebTrust,2013.06.18,
Camerfirma,AC Camerfirma SA CIF A82743287,http://www.chambersign.org,Chambers of Commerce Root,6E:3A:55:A4:19:0C:19:5C:93:84:3C:C0:DB:72:2E:31:30:61:F0:B1,9/30/2003,9/30/2037,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=261778,Firefox 1,https://server1.camerfirma.com/,http://www.camerfirma.com,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,https://cert.webtrust.org/SealFile?seal=1570&file=pdf,https://cert.webtrust.org/SealFile?seal=1570&file=pdf,,Ernst & Young,WebTrust,2013.06.18,
Camerfirma,AC Camerfirma SA CIF A82743287,http://www.chambersign.org,Global Chambersign Root,33:9B:6B:14:50:24:9B:55:7A:01:87:72:84:D9:E0:2F:C3:D2:D8:E9,9/30/2003,9/30/2037,2048,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=261778,Firefox 1,Not yet issuing SSL certs.,http://www.camerfirma.com,http://policy.camerfirma.com/,http://docs.camerfirma.com/publico/DocumentosWeb/politicas/CPS_V_3_2_5_eng-GB-signed.pdf,https://cert.webtrust.org/SealFile?seal=1570&file=pdf,https://cert.webtrust.org/SealFile?seal=1570&file=pdf,,Ernst & Young,WebTrust,2013.06.18,
"Government of Spain, Autoritat de Certificació de la Comunitat Valenciana (ACCV)",ACCV,PKIACCV,ACCVRAIZ1,93:05:7A:88:15:C6:4F:CE:88:2F:FA:91:16:52:28:78:BC:53:64:17,5/5/2011,12/31/2030,4096,SHA-1,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=811352,"NSS 3.15.4, Firefox 27",https://ulik2.accv.es,http://www.pki.gva.es/,http://www.accv.es/quienes-somos/practicas-y-politicas-de-certificacion/politicas-de-certificacion/,http://www.accv.es/quienes-somos/practicas-y-politicas-de-certificacion/,https://cert.webtrust.org/SealFile?seal=1561&file=pdf,https://cert.webtrust.org/SealFile?seal=1561&file=pdf,,DNB,WebTrust,2013.07.31,The SealFile contains both the WebTrust CA (page 7) and BR (page 17) audit statements in both Spanish and English.
Actalis,Actalis S.p.A./03358520967,,Actalis Authentication Root CA,F3:73:B3:87:06:5A:28:84:8A:F2:F3:4A:CE:19:2B:DD:C7:8E:9C:AC,9/22/2011,9/22/2030,4096,SHA-256,"Websites Email Code",Not EV,https://bugzilla.mozilla.org/show_bug.cgi?id=520557,"NSS 3.13.6, Firefox 16",https://ssltest-a.actalis.it:8443,http://www.actalis.it/,http://portal.actalis.it/Info/cmsContent?cmsRef=translations/en/actalis/Info/Solutions/SSL,http://portal.actalis.it/Info/cmsContent?cmsRef=translations/en/actalis/Info/Solutions/SSL,http://portal.actalis.it/cms/actalis/Info/Solutions/Documents/ActalisCA_Audit_Statement.pdf,http://portal.actalis.it/cms/actalis/Info/Solutions/Documents/ActalisCA_Audit_Statement.pdf,,IMQ,ETSI TS 102 042,2013.10.18,
